id,state,animal,plant,palabras,ip_address
1,North Carolina,Pavo cristatus,Andropogon ternarius Michx.,consequat varius integer ac,194.20.166.117
2,Utah,Macaca mulatta,Harmonia guggolziorum B.G. Baldw.,habitasse platea dictumst,145.170.220.155
3,Massachusetts,Stercorarius longicausus,Navarretia viscidula Benth. ssp. viscidula,neque aenean auctor gravida,125.22.143.93
4,Michigan,Tayassu pecari,Lecanora rugosella Zahlbr.,sem mauris laoreet,139.185.155.235
5,California,Herpestes javanicus,Packera hartiana (A. Heller) W.A. Weber & Á. Löve,a nibh in,105.24.178.32
6,North Dakota,Dicrostonyx groenlandicus,Platanthera orbiculata (Pursh) Lindl.,morbi non lectus,181.240.122.11
7,Nevada,Climacteris melanura,Pentachaeta lyonii A. Gray,duis ac nibh fusce,249.235.228.130
8,Texas,Acinynox jubatus,Delphinium polycladon Eastw.,diam in magna,111.89.122.219
9,Kansas,Capreolus capreolus,Carex hitchcockiana Dewey,adipiscing elit proin interdum,193.28.204.174
10,Kentucky,Coendou prehensilis,Platanthera sparsiflora (S. Watson) Schltr. var. sparsiflora,augue aliquam erat volutpat in,44.130.118.251
11,Texas,Corvus brachyrhynchos,Phacelia austromontana J.T. Howell,vivamus tortor duis mattis egestas,177.188.53.131
12,District of Columbia,Suricata suricatta,Melanelia exasperata (De Not.) Essl.,et ultrices posuere,223.63.6.114
13,California,Falco peregrinus,Solidago wrightii A. Gray,sociis natoque penatibus,242.178.238.182
14,Arizona,Sarcorhamphus papa,Cannabis sativa L. ssp. sativa var. sativa,hac habitasse platea,199.64.207.174
15,Michigan,Pseudocheirus peregrinus,Potamogeton ×rectifolius Benn.,et ultrices posuere cubilia curae,222.117.214.57
16,Nevada,Diomedea irrorata,Atriplex canescens (Pursh) Nutt. var. canescens,phasellus sit amet,17.226.180.120
17,Kentucky,Eutamias minimus,Sporobolus creber De Nardi,ut massa volutpat,39.218.236.21
18,California,Coendou prehensilis,Physconia detersa (Nyl.) Poelt,tortor quis turpis,24.148.65.49
19,Iowa,Mazama gouazoubira,Medicago orbicularis (L.) Bartal.,montes nascetur ridiculus mus,182.74.177.101
20,Texas,Felis chaus,Cuscuta rostrata Shuttlw. ex Engelm. & A. Gray,quis turpis sed ante vivamus,36.156.85.61
21,Virginia,Ara ararauna,Claytonia rosea Rydb.,quam pede lobortis ligula sit,245.66.68.120
22,Oklahoma,Larus fuliginosus,Carthamus leucocaulos Sm.,cubilia curae donec pharetra magna,23.148.201.34
23,Tennessee,Pseudalopex gymnocercus,Physcia magnussonii Frey,leo pellentesque ultrices,169.109.165.46
24,California,Erinaceus frontalis,Sporobolus virginicus (L.) Kunth,donec vitae nisi nam,79.56.182.143
25,New York,Pelecans onocratalus,Avena fatua L.,convallis nulla neque libero convallis,238.100.11.135
26,Pennsylvania,Manouria emys,Gonocarpus chinensis (Lour.) Orchard,imperdiet et commodo vulputate,174.43.240.193
27,Mississippi,Grus canadensis,Cardamine californica (Nutt.) Greene var. sinuata (Greene) O.E. Schulz,vel pede morbi porttitor,110.116.120.126
28,Pennsylvania,Lophoaetus occipitalis,Tectaria coriandrifolia (Sw.) Underw.,interdum in ante,84.246.187.51
29,Florida,Pandon haliaetus,Amygdalaria pelobotryon (Wahlenb.) Norman,vulputate justo in blandit,50.185.9.90
30,Indiana,Balearica pavonina,Butea Roxb. ex Willd.,erat id mauris,246.127.135.195
31,Alabama,Colaptes campestroides,Sphaeralcea rusbyi A. Gray,ridiculus mus etiam vel augue,144.139.19.5
32,Texas,Graspus graspus,Delphinium carolinianum Walter ssp. vimineum (D. Don) Warnock,faucibus orci luctus,12.180.39.71
33,Texas,Petaurus breviceps,Polytrichum commune Hedw.,tempor turpis nec euismod scelerisque,16.50.42.117
34,California,Cygnus atratus,Cardamine macrocarpa Brandegee,rhoncus aliquet pulvinar sed nisl,231.254.89.214
35,Florida,Larus novaehollandiae,Rhytidiadelphus (Lindb. ex Limpr.) Warnst.,ac neque duis bibendum,229.120.122.132
36,District of Columbia,Rhea americana,Romulea rosea (L.) Eckl. var. rosea (L.) Eckl. [excluded],dui proin leo odio,236.41.185.132
37,Arizona,Ciconia episcopus,Hymenopappus newberryi (A. Gray) I.M. Johnst.,aenean fermentum donec,59.193.151.76
38,Pennsylvania,Pitangus sulphuratus,Eucalyptus radiata Sieber ex DC.,molestie lorem quisque,66.176.238.144
